root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 port 22
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
15:58:17.545887 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5448:5484, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 36
15:58:17.545939 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5484:5704, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 220
15:58:17.545978 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5704:5740, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 36
15:58:17.546036 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5740:5968, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 228
15:58:17.546075 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5968:6004, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 36
15:58:17.546130 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 6004:6224, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 220
15:58:17.546168 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 6224:6260, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 36
15:58:17.546221 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 6260:6488, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 228
15:58:17.546259 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 6488:6524, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 36
15:58:17.546314 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 6524:6744, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 220
15:58:17.546372 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 6744:6780, ack 1, win 501, options [nop,nop,TS val 834033525 ecr 2631073900], length 36
