root@lamponubuntu2204-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0 src 159.203.26.59
tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), snapshot length 262144 bytes
16:01:40.981587 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 3840:4012, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 172
16:01:40.981661 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4012:4048, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 36
16:01:40.981710 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4048:4212, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 164
16:01:40.981752 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4212:4248, ack 1, win 501, options [nop,nop,TS val 834236960 ecr 2631277326], length 36
16:01:40.981822 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4248:4468, ack 1, win 501, options [nop,nop,TS val 834236961 ecr 2631277326], length 220
16:01:40.982021 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 4468:5272, ack 1, win 501, options [nop,nop,TS val 834236961 ecr 2631277326], length 804
16:01:40.982096 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5272:5492, ack 1, win 501, options [nop,nop,TS val 834236961 ecr 2631277326], length 220
16:01:40.982149 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5492:5528, ack 1, win 501, options [nop,nop,TS val 834236961 ecr 2631277326], length 36
16:01:40.982236 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5528:5748, ack 1, win 501, options [nop,nop,TS val 834236961 ecr 2631277326], length 220
16:01:40.982308 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5748:5784, ack 1, win 501, options [nop,nop,TS val 834236961 ecr 2631277326], length 36
16:01:40.982368 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 5784:6012, ack 1, win 501, options [nop,nop,TS val 834236961 ecr 2631277326], length 228
16:01:40.982425 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 6012:6048, ack 1, win 501, options [nop,nop,TS val 834236961 ecr 2631277326], length 36
16:01:40.982493 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 6048:6268, ack 1, win 501, options [nop,nop,TS val 834236961 ecr 2631277326], length 220
16:01:40.987932 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 6268:7344, ack 1, win 501, options [nop,nop,TS val 834236967 ecr 2631277438], length 1076
16:01:41.065080 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7344:7516, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 172
16:01:41.065192 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7516:7552, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 36
16:01:41.065293 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7552:7724, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 172
16:01:41.065341 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7724:7760, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 36
16:01:41.065397 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 7760:8028, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 268
16:01:41.065465 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8028:8228, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 200
16:01:41.065501 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8228:8264, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 36
16:01:41.065561 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8264:8428, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 164
16:01:41.065592 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8428:8464, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 36
16:01:41.065643 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8464:8676, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 212
16:01:41.065674 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8676:8712, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 36
16:01:41.065716 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8712:8940, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 228
16:01:41.065754 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8940:8976, ack 1, win 501, options [nop,nop,TS val 834237044 ecr 2631277445], length 36
16:01:41.065796 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 8976:9196, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 220
16:01:41.065825 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9196:9232, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 36
16:01:41.065883 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9232:9460, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 228
16:01:41.065922 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9460:9496, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 36
16:01:41.065971 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9496:9716, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 220
16:01:41.065999 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9716:9752, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 36
16:01:41.066042 IP lamponubuntu2204-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.106.49154: Flags [P.], seq 9752:9980, ack 1, win 501, options [nop,nop,TS val 834237045 ecr 2631277445], length 228
